Arquivo,Descrição
sys/net/application_layer/cord/common,1 
sys/net/application_layer/cord/epsim,1 
sys/net/application_layer/cord/ep,1 
sys/shell/commands/sc_nimble_netif.c,1 
cpu/sam3x8e/periph,2 
cpu/sam3x8e/periph/gpio.c,1 
cpu/lpc2387/periph/pwm.c,1 
cpu/stm32f4,3 
cpu/stm32f4/periph,1 
cpu/stm32f4/periph/uart.c,1 
cpu/stm32f0,1 
cpu/stm32f0/periph,1 
cpu/stm32f0/periph/gpio.c,1 
cpu/stm32f4/periph/gpio.c,1 
cpu/nrf51822,2 
cpu/stm32f1/cpu.c,1 
cpu/stm32f1/periph/gpio.c,1 
cpu/atmega2560/periph,1 
cpu/stm32f0/periph/spi.c,1 
cpu/stm32f4/periph/pwm.c,1 
cpu/cc2538,4 
cpu/cc2538/periph,6 
cpu/cc2538/periph/gpio.c,2 
cpu/cc2538/periph/uart.c,2 
cpu/stm32f1/periph/i2c.c,1 
cpu/samd21/periph,1 
cpu/samd21/periph/gpio.c,1 
cpu/samd21/periph/timer.c,1 
cpu/samd21/periph/uart.c,1 
cpu/atmega2560/periph/uart.c,1 
cpu/lpc1768/periph,3 
cpu/lpc1768/periph/uart.c,1 
cpu/stm32l1,2 
cpu/stm32l1/periph,1 
cpu/kw2x,3 
cpu/kw2x/cpu.c,1 
cpu/stm32l1/periph/gpio.c,1 
cpu/saml21/periph,1 
cpu/saml21/periph/gpio.c,1 
cpu/saml21/periph/spi.c,1 
cpu/sam3/periph,2 
cpu/sam3/periph/gpio.c,1 
cpu/sam3/periph/timer.c,1 
cpu/nrf51,2 
cpu/nrf51/cpu.c,1 
cpu/nrf51/periph,2 
cpu/nrf51/radio,1 
cpu/nrf51/radio/nrfmin,1 
cpu/nrf51/radio/nrfmin/nrfmin.c,1 
cpu/saml21/periph/uart.c,1 
cpu/samd21/periph/pwm.c,1 
cpu/lpc11u34/periph,1 
cpu/lpc11u34/periph/gpio.c,1 
cpu/lpc2387/periph/uart.c,1 
cpu/nrf5x_common,4 
cpu/nrf5x_common/periph,6 
cpu/nrf5x_common/periph/uart.c,1 
cpu/stm32f0/vectors.c,1 
cpu/ezr32wg,1 
cpu/ezr32wg/periph,1 
cpu/stm32f2,3 
cpu/stm32f2/periph,2 
cpu/nrf52/cpu.c,1 
cpu/stm32_common/periph/timer.c,1 
cpu/stm32_common/periph/gpio.c,1 
cpu/stm32l4,2 
cpu/kinetis,3 
cpu/nrf52/periph,4 
drivers/cc110x/cc110x.c,1 
drivers/xbee,3 
drivers/xbee/xbee.c,3 
drivers/dht,2 
drivers/dht/dht.c,1 
boards/samr21-xpro,2 
boards/samr21-xpro/board.c,1 
tests/irq,1 
tests/periph_spi,1 
tests/periph_spi/main.c,1 
tests/driver_xbee,1 
tests/driver_xbee/main.c,1 
tests/driver_dht,1 
tests/driver_dht/main.c,1 
tests/nimble_l2cap,1 
tests/nimble_l2cap/main.c,1 
examples/nimble_gatt,1 
examples/nimble_gatt/main.c,1 
pkg/nimble,3 
pkg/nimble/contrib,1 
pkg/nimble/contrib/nimble_riot.c,1 
pkg/nimble/netif,1 
pkg/nimble/netif/nimble_netif.c,1 
sys/net/transport_layer/tcp,2 
sys/net/transport_layer/tcp/tcp.c,1 
sys/net/transport_layer/destiny/socket.c,1 
sys/net/routing,2 
sys/net/routing/rpl/rpl.c,1 
sys/net/routing/rpl/rpl_dodag.c,1 
sys/trickle,1 
sys/trickle/trickle.c,1 
sys/net/gnrc/network_layer/ipv6/nc,1 
sys/net/gnrc/network_layer/ipv6/nc/gnrc_ipv6_nc.c,1 
sys/net/gnrc/network_layer/ndp,2 
sys/net/gnrc/network_layer/ndp/internal,2 
sys/net/gnrc/network_layer/ndp/internal/gnrc_ndp_internal.c,2 
sys/net/gnrc/routing/rpl,2 
sys/net/gnrc/routing/rpl/gnrc_rpl_control_messages.c,1 
sys/net/gnrc/routing/rpl/gnrc_rpl_dodag.c,1 
sys/shell/commands/sc_gnrc_rpl.c,1 
sys/net/gnrc/routing/rpl/gnrc_rpl.c,1 
sys/net/gnrc/routing/rpl/p2p,1 
sys/net/gnrc/routing/rpl/p2p/gnrc_rpl_p2p.c,1 
sys/uri_parser,1 
sys/uri_parser/uri_parser.c,1 
sys/net/link_layer/ieee802154,3 
sys/net/crosslayer,1 
sys/net/transport_layer/udp,1 
sys/od,1 
sys/od/od.c,1 
sys/shell/commands/sc_netif.c,1 
sys/net/crosslayer/ng_pktdump,1 
sys/net/crosslayer/ng_pktdump/ng_pktdump.c,1 
sys/net/network_layer/ng_ipv6,1 
sys/net/network_layer/ng_ipv6/netif,1 
sys/net/network_layer/ng_ipv6/netif/ng_ipv6_netif.c,1 
sys/shell/commands/sc_ipv6_nc.c,1 
sys/shell/commands/sc_icmpv6_echo.c,1 
sys/net/network_layer/ng_ndp,1 
sys/net/network_layer/ng_ndp/ng_ndp.c,1 
sys/auto_init/netif,1 
sys/auto_init/netif/auto_init_kw2xrf.c,1 
sys/auto_init/netif/auto_init_xbee.c,1 
sys/net/link_layer/ng_netdev_eth,1 
sys/net/link_layer/ng_netdev_eth/ng_netdev_eth.c,1 
sys/net/network_layer/ipv6,1 
sys/net/network_layer/ipv6/addr,1 
sys/auto_init/netif/auto_init_at86rf2xx.c,1 
sys/net/gnrc/netapi,1 
sys/net/gnrc/netapi/gnrc_netapi.c,1 
sys/net/gnrc/netif/gnrc_netif.c,1 
sys/net/gnrc/netif/hdr,1 
sys/net/gnrc/netif/hdr/gnrc_netif_hdr_print.c,1 
sys/net/gnrc/network_layer/icmpv6,1 
sys/net/gnrc/network_layer/icmpv6/echo,1 
sys/net/gnrc/network_layer/icmpv6/echo/gnrc_icmpv6_echo.c,1 
sys/net/gnrc/network_layer/icmpv6/gnrc_icmpv6.c,1 
sys/net/gnrc/network_layer/ipv6/ext,3 
sys/net/gnrc/network_layer/ipv6/ext/gnrc_ipv6_ext.c,1 
sys/net/gnrc/network_layer/ipv6/gnrc_ipv6.c,1 
sys/net/gnrc/network_layer/ndp/gnrc_ndp.c,1 
sys/net/gnrc/network_layer/sixlowpan/frag,2 
sys/net/gnrc/network_layer/sixlowpan/frag/gnrc_sixlowpan_frag.c,1 
sys/net/gnrc/network_layer/sixlowpan/frag/rbuf.c,1 
sys/net/gnrc/network_layer/sixlowpan/gnrc_sixlowpan.c,1 
sys/net/gnrc/network_layer/sixlowpan/iphc,1 
sys/net/gnrc/network_layer/sixlowpan/iphc/gnrc_sixlowpan_iphc.c,1 
sys/net/gnrc/pktbuf_static,1 
sys/net/gnrc/pktbuf_static/gnrc_pktbuf_static.c,1 
sys/net/gnrc/pktdump,1 
sys/net/gnrc/pktdump/gnrc_pktdump.c,1 
sys/net/gnrc/routing/rpl/srh,1 
sys/net/gnrc/routing/rpl/srh/gnrc_rpl_srh.c,1 
sys/net/gnrc/transport_layer,2 
sys/net/gnrc/transport_layer/udp,1 
sys/net/gnrc/transport_layer/udp/gnrc_udp.c,1 
sys/net/gnrc/link_layer,3 
sys/posix/semaphore,1 
sys/posix/semaphore/posix_semaphore.c,1 
sys/sema,1 
sys/sema/sema.c,1 
sys/auto_init/netif/auto_init_cc110x.c,1 
sys/shell/commands/sc_gnrc_6ctx.c,1 
sys/net/gnrc/application_layer/tftp,1 
sys/net/gnrc/application_layer/tftp/gnrc_tftp.c,1 
sys/auto_init/netif/auto_init_ethos.c,1 
sys/net/gnrc/application_layer/uhcpc,2 
sys/net/gnrc/application_layer/uhcpc/gnrc_uhcpc.c,2 
sys/auto_init/netif/auto_init_cc2420.c,1 
sys/net/gnrc/sock/gnrc_sock.c,1 
sys/net/gnrc/network_layer/ipv6/nib/_nib-internal.c,1 
sys/net/gnrc/pktbuf,1 
sys/net/gnrc/pktbuf/gnrc_pktbuf.c,1 
sys/shell/commands/sc_gnrc_ipv6_nib.c,1 
sys/net/gnrc/network_layer/ipv6/nib/_nib-6lr.c,1 
sys/net/gnrc/link_layer/lwmac,2 
sys/net/gnrc/link_layer/lwmac/lwmac.c,1 
sys/net/gnrc/network_layer/ipv6/nib/nib.c,1 
sys/net/gnrc/network_layer/ipv6/nib/_nib-6ln.c,1 
sys/net/gnrc/network_layer/ipv6/nib/_nib-arsm.c,1 
sys/net/gnrc/network_layer/ipv6/nib/nib_pl.c,1 
sys/net/gnrc/network_layer/icmpv6/error,1 
sys/net/gnrc/network_layer/icmpv6/error/gnrc_icmpv6_error.c,1 
sys/net/gnrc/network_layer/ipv6/nib/_nib-slaac.c,1 
sys/net/gnrc/netif/ethernet,1 
sys/net/gnrc/netif/ethernet/gnrc_netif_ethernet.c,1 
sys/net/gnrc/netif/ieee802154,1 
sys/net/gnrc/netif/ieee802154/gnrc_netif_ieee802154.c,1 
sys/net/gnrc/netif/gnrc_netif_device_type.c,1 
sys/net/gnrc/network_layer/sixlowpan/frag/vrb,2 
sys/net/gnrc/network_layer/sixlowpan/frag/vrb/gnrc_sixlowpan_frag_vrb.c,2 
sys/net/gnrc/network_layer/sixlowpan/frag/rb,2 
sys/net/gnrc/network_layer/sixlowpan/frag/rb/gnrc_sixlowpan_frag_rb.c,2 
sys/net/application_layer/dhcpv6,2 
sys/net/application_layer/dhcpv6/client.c,2 
sys/net/gnrc/network_layer/sixlowpan/frag/sfr,2 
sys/net/gnrc/network_layer/sixlowpan/frag/sfr/gnrc_sixlowpan_frag_sfr.c,1 
sys/net/application_layer/gcoap/forward_proxy.c,1 
cpu/nrf5x_common/radio,1 
cpu/nrf5x_common/radio/nrfmin,1 
cpu/nrf5x_common/radio/nrfmin/nrfmin_gnrc.c,1 
drivers/ng_at86rf2xx,1 
drivers/ng_at86rf2xx/ng_at86rf2xx_netdev.c,1 
drivers/cc110x/gnrc_cc110x,1 
tests/unittests,1 
tests/posix_semaphore,1 
tests/posix_semaphore/main.c,1 
tests/periph_rtt,1 
tests/unittests/tests-pktqueue,1 
tests/unittests/tests-pktqueue/tests-pktqueue.c,1 
tests/unittests/tests-pktbuf,1 
tests/unittests/tests-pktbuf/tests-pktbuf.c,1 
tests/unittests/tests-pkt,1 
tests/unittests/tests-pkt/tests-pkt.c,1 
tests/unittests/tests-netreg,1 
tests/unittests/tests-netreg/tests-netreg.c,1 
tests/unittests/tests-ipv6_addr,1 
tests/unittests/tests-ipv6_addr/tests-ipv6_addr.c,1 
tests/unittests/tests-netif,1 
tests/unittests/tests-netif/tests-netif.c,1 
tests/unittests/tests-ipv6_nc,1 
tests/unittests/tests-ipv6_nc/tests-ipv6_nc.c,1 
tests/unittests/tests-ipv6_netif,1 
tests/unittests/tests-ipv6_netif/tests-ipv6_netif.c,1 
tests/driver_kw2xrf,1 
tests/driver_kw2xrf/main.c,1 
tests/slip,1 
tests/slip/main.c,1 
tests/unittests/tests-hashes,2 
tests/unittests/tests-ieee802154,1 
tests/unittests/tests-ieee802154/tests-ieee802154.c,1 
tests/gnrc_sixlowpan,1 
tests/gnrc_sixlowpan/main.c,1 
tests/lwip_sock_ip,1 
tests/lwip_sock_ip/stack.c,1 
tests/lwip_sock_udp,1 
tests/lwip_sock_udp/stack.c,1 
tests/netdev_test,1 
tests/netdev_test/main.c,1 
tests/lwip_sock_udp/main.c,1 
tests/lwip,3 
tests/unittests/tests-gnrc_ipv6_nib,2 
tests/unittests/tests-gnrc_ipv6_nib/tests-gnrc_ipv6_nib-internal.c,2 
tests/gnrc_ipv6_nib,1 
tests/gnrc_ipv6_nib/mockup_netif.c,1 
tests/gnrc_ipv6_nib_6ln,1 
tests/gnrc_ipv6_nib_6ln/main.c,1 
tests/gnrc_ipv6_nib_6ln/mockup_netif.c,1 
tests/gnrc_netif,3 
tests/gnrc_netif/main.c,1 
tests/gnrc_ndp,1 
tests/gnrc_ndp/main.c,1 
tests/unittests/tests-nanocoap,2 
tests/gnrc_sixlowpan_frag,1 
tests/gnrc_sixlowpan_frag/main.c,1 
examples/gnrc_networking,2 
examples/gnrc_networking/udp.c,1 
sniffer/main.c,1 
pkg/lwip/contrib,3 
pkg/lwip/contrib/sys_arch.c,1 
pkg/nordic_softdevice_ble/src/gnrc_nordic_ble_6lowpan.c,1 
sys/net/routing/nhdp,1 
sys/cpp11-compat,2 
cpu/kinetis_common/i2c.c,1 
